model,balancing,class_weight,threshold_mode,accuracy,precision,recall,f1,roc_auc,pr_auc,true_negatives,false_positives,false_negatives,true_positives
Random Forest,Undersampling,None,recall,0.8530950458200204,0.011229314420803783,0.9693877551020408,0.022201448936667447,0.9776978619951074,0.6952856989622043,48499,8365,3,95
Random Forest,Undersampling,Balanced,default,0.9640988729328324,0.04231311706629055,0.9183673469387755,0.08089887640449438,0.9776978619951074,0.6952856989622043,54827,2037,8,90
Random Forest,Undersampling,Balanced,recall,0.8530950458200204,0.011229314420803783,0.9693877551020408,0.022201448936667447,0.9776978619951074,0.6952856989622043,48499,8365,3,95
Random Forest,SMOTE,None,default,0.999420666409185,0.8350515463917526,0.826530612244898,0.8307692307692308,0.9644232605112952,0.8746876142969218,56848,16,17,81
Random Forest,SMOTE,None,recall,0.0017204452090867595,0.0017204452090867595,1.0,0.003434980722046968,0.9644232605112952,0.8746876142969218,0,56864,0,98
Random Forest,SMOTE,Balanced,default,0.999420666409185,0.8350515463917526,0.826530612244898,0.8307692307692308,0.9644232605112952,0.8746876142969218,56848,16,17,81
Random Forest,SMOTE,Balanced,recall,0.0017204452090867595,0.0017204452090867595,1.0,0.003434980722046968,0.9644232605112952,0.8746876142969218,0,56864,0,98
Random Forest,SMOTE_Tomek,None,default,0.9994557775359011,0.8316831683168316,0.8571428571428571,0.8442211055276382,0.9692621421106428,0.8730520650493889,56847,17,14,84
Random Forest,SMOTE_Tomek,None,recall,0.0017204452090867595,0.0017204452090867595,1.0,0.003434980722046968,0.9692621421106428,0.8730520650493889,0,56864,0,98
Random Forest,SMOTE_Tomek,Balanced,default,0.9994557775359011,0.8316831683168316,0.8571428571428571,0.8442211055276382,0.9692621421106428,0.8730520650493889,56847,17,14,84
Random Forest,SMOTE_Tomek,Balanced,recall,0.0017204452090867595,0.0017204452090867595,1.0,0.003434980722046968,0.9692621421106428,0.8730520650493889,0,56864,0,98
Random Forest,ClusterCentroids,None,default,0.046241353885046174,0.0018006100025723,1.0,0.003594747267258455,0.9591630370493724,0.23399224620077183,2536,54328,0,98
Random Forest,ClusterCentroids,None,recall,0.7056634247392999,0.005576649264356906,0.9591836734693877,0.011088828595021824,0.9591630370493724,0.23399224620077183,40102,16762,4,94
Random Forest,ClusterCentroids,Balanced,default,0.046241353885046174,0.0018006100025723,1.0,0.003594747267258455,0.9591630370493724,0.23399224620077183,2536,54328,0,98
Random Forest,ClusterCentroids,Balanced,recall,0.7056634247392999,0.005576649264356906,0.9591836734693877,0.011088828595021824,0.9591630370493724,0.23399224620077183,40102,16762,4,94
AdaBoost,None,None,default,0.9990168884519505,0.7058823529411765,0.7346938775510204,0.72,0.9792300713194675,0.7242773097218693,56834,30,26,72
AdaBoost,None,None,recall,0.8529897124398722,0.01110586011342155,0.9591836734693877,0.021957486568558747,0.9792300713194675,0.7242773097218693,48494,8370,4,94
AdaBoost,None,Balanced,default,0.9990168884519505,0.7058823529411765,0.7346938775510204,0.72,0.9792300713194675,0.7242773097218693,56834,30,26,72
AdaBoost,None,Balanced,recall,0.8529897124398722,0.01110586011342155,0.9591836734693877,0.021957486568558747,0.9792300713194675,0.7242773097218693,48494,8370,4,94
AdaBoost,Undersampling,None,default,0.950774200344089,0.031185031185031187,0.9183673469387755,0.06032171581769437,0.9788602307833657,0.6412939148610856,54068,2796,8,90
AdaBoost,Undersampling,None,recall,0.8379797057687581,0.01008691919733877,0.9591836734693877,0.01996389508335988,0.9788602307833657,0.6412939148610856,47639,9225,4,94
AdaBoost,Undersampling,Balanced,default,0.950774200344089,0.031185031185031187,0.9183673469387755,0.06032171581769437,0.9788602307833657,0.6412939148610856,54068,2796,8,90
AdaBoost,Undersampling,Balanced,recall,0.8379797057687581,0.01008691919733877,0.9591836734693877,0.01996389508335988,0.9788602307833657,0.6412939148610856,47639,9225,4,94
